PicoScope 5000A - Channel A Data
================================
Samples: 10000
Timebase: 128 (Sample interval: 1008 ns)
Range: 2V, DC coupled

Sample	Time(ns)	ADC	mV
511	515088	11554	710
512	516096	11265	692
513	517104	11554	710
514	518112	11265	692
515	519120	11554	710
516	520128	11554	710
517	521136	11554	710
518	522144	11554	710
519	523152	11843	728
520	524160	11554	710
521	525168	11843	728
522	526176	11554	710
523	527184	11554	710
524	528192	11843	728
525	529200	11554	710
526	530208	11843	728
527	531216	11554	710
528	532224	11554	710
529	533232	11554	710
530	534240	11843	728
531	535248	11265	692
532	536256	11554	710
533	537264	11554	710
534	538272	11554	710
535	539280	11554	710
536	540288	11554	710
537	541296	11554	710
538	542304	11843	728
539	543312	11843	728
540	544320	11554	710
541	545328	11843	728
542	546336	11843	728
543	547344	11843	728
544	548352	11554	710
545	549360	11554	710
546	550368	11554	710
547	551376	11554	710
548	552384	11554	710
549	553392	11265	692
550	554400	11554	710
551	555408	11554	710
552	556416	11843	728
553	557424	11554	710
554	558432	11554	710
555	559440	11554	710
556	560448	11554	710
557	561456	11554	710
558	562464	11554	710
559	563472	11554	710
560	564480	11554	710
561	565488	11554	710
562	566496	11265	692
563	567504	11265	692
564	568512	11843	728
565	569520	11265	692
566	570528	11554	710
567	571536	11265	692
568	572544	11265	692
569	573552	11265	692
570	574560	11265	692
571	575568	11265	692
572	576576	11265	692
573	577584	11554	710
574	578592	11554	710
575	579600	11265	692
576	580608	11554	710
577	581616	11554	710
578	582624	11265	692
579	583632	11554	710
580	584640	11554	710
581	585648	11265	692
582	586656	11265	692
583	587664	11265	692
584	588672	11265	692
585	589680	10688	657
586	590688	10976	675
587	591696	10688	657
588	592704	10976	675
589	593712	10688	657
590	594720	10976	675
591	595728	11265	692
592	596736	11265	692
593	597744	10976	675
594	598752	10976	675
595	599760	10976	675
596	600768	10976	675
597	601776	10976	675
598	602784	10688	657
599	603792	10976	675
600	604800	10688	657
601	605808	10976	675
602	606816	10688	657
603	607824	10688	657
604	608832	10688	657
605	609840	10399	639
606	610848	10110	621
607	611856	10688	657
608	612864	10399	639
609	613872	10688	657
610	614880	10399	639
611	615888	10399	639
612	616896	10399	639
613	617904	10110	621
614	618912	10110	621
615	619920	10399	639
616	620928	10399	639
617	621936	10110	621
618	622944	10688	657
619	623952	10110	621
620	624960	10110	621
621	625968	9821	604
622	626976	10110	621
623	627984	9821	604
624	628992	9821	604
625	630000	9532	586
626	631008	9532	586
627	632016	9532	586
628	633024	9532	586
629	634032	9532	586
630	635040	9532	586
631	636048	9532	586
632	637056	9532	586
633	638064	9532	586
634	639072	9532	586
635	640080	9532	586
636	641088	9243	568
637	642096	9243	568
638	643104	9243	568
639	644112	9243	568
640	645120	8954	550
641	646128	8954	550
642	647136	8954	550
643	648144	8954	550
644	649152	8666	533
645	650160	8666	533
646	651168	8666	533
647	652176	8666	533
648	653184	8666	533
649	654192	8666	533
650	655200	8666	533
651	656208	8377	515
652	657216	8666	533
653	658224	8666	533
654	659232	8377	515
655	660240	8377	515
656	661248	8377	515
657	662256	8377	515
658	663264	8088	497
659	664272	8088	497
660	665280	7799	479
661	666288	8088	497
662	667296	7799	479
663	668304	7799	479
664	669312	7510	461
665	670320	7799	479
666	671328	7799	479
667	672336	7510	461
668	673344	7510	461
669	674352	7221	444
670	675360	7510	461
671	676368	7510	461
672	677376	7221	444
673	678384	7221	444
674	679392	7221	444
675	680400	6932	426
676	681408	7221	444
677	682416	7221	444
678	683424	6643	408
679	684432	7221	444
680	685440	6643	408
681	686448	6643	408
682	687456	6355	390
683	688464	6355	390
684	689472	6066	373
685	690480	6643	408
686	691488	6355	390
687	692496	6066	373
688	693504	6355	390
689	694512	6066	373
690	695520	6355	390
691	696528	6066	373
692	697536	6355	390
693	698544	5777	355
694	699552	5777	355
695	700560	5777	355
696	701568	5777	355
697	702576	5777	355
698	703584	5777	355
699	704592	5488	337
700	705600	5199	319
701	706608	5199	319
702	707616	5199	319
703	708624	5199	319
704	709632	4910	302
705	710640	4910	302
706	711648	4621	284
707	712656	4910	302
708	713664	4910	302
709	714672	4910	302
710	715680	4621	284
711	716688	4621	284
712	717696	4621	284
713	718704	4333	266
714	719712	4333	266
715	720720	4044	248
716	721728	4044	248
717	722736	4044	248
718	723744	4044	248
719	724752	3755	230
720	725760	3755	230
721	726768	3755	230
722	727776	3755	230
723	728784	3466	213
724	729792	3755	230
725	730800	3466	213
726	731808	3755	230
727	732816	3466	213
728	733824	3755	230
729	734832	3466	213
730	735840	3466	213
731	736848	2888	177
732	737856	3177	195
733	738864	3177	195
734	739872	2599	159
735	740880	2888	177
736	741888	2599	159
737	742896	2599	159
738	743904	2599	159
739	744912	2599	159
740	745920	2310	142
741	746928	2310	142
742	747936	2310	142
743	748944	2310	142
744	749952	2310	142
745	750960	2310	142
746	751968	2022	124
747	752976	2022	124
748	753984	1733	106
749	754992	2022	124
750	756000	2022	124
751	757008	1733	106
752	758016	1444	88
753	759024	1444	88
754	760032	577	35
755	761040	1155	71
756	762048	1155	71
757	763056	1155	71
758	764064	866	53
759	765072	866	53
760	766080	866	53
761	767088	577	35
762	768096	866	53
763	769104	288	17
764	770112	577	35
765	771120	577	35
766	772128	577	35
767	773136	288	17
768	774144	288	17
769	775152	0	0
770	776160	0	0
771	777168	0	0
772	778176	-288	-17
773	779184	-288	-17
774	780192	-288	-17
775	781200	-577	-35
776	782208	-577	-35
777	783216	-577	-35
778	784224	-577	-35
779	785232	-866	-53
780	786240	-577	-35
781	787248	-866	-53
782	788256	-866	-53
783	789264	-1155	-71
784	790272	-866	-53
785	791280	-1155	-71
786	792288	-1444	-88
787	793296	-1155	-71
788	794304	-1444	-88
789	795312	-1444	-88
790	796320	-1733	-106
791	797328	-1733	-106
792	798336	-1733	-106
793	799344	-1733	-106
794	800352	-2022	-124
795	801360	-2022	-124
796	802368	-2310	-142
797	803376	-2022	-124
798	804384	-2310	-142
799	805392	-2599	-159
800	806400	-2310	-142
801	807408	-2888	-177
802	808416	-2599	-159
803	809424	-2599	-159
804	810432	-2599	-159
805	811440	-2599	-159
806	812448	-2599	-159
807	813456	-2888	-177
808	814464	-3177	-195
809	815472	-3466	-213
810	816480	-3177	-195
811	817488	-3466	-213
812	818496	-3177	-195
813	819504	-3466	-213
814	820512	-3755	-230
815	821520	-3755	-230
816	822528	-3755	-230
817	823536	-3755	-230
818	824544	-4044	-248
819	825552	-4044	-248
820	826560	-4044	-248
821	827568	-4333	-266
822	828576	-4333	-266
823	829584	-4333	-266
824	830592	-4044	-248
825	831600	-4333	-266
826	832608	-4621	-284
827	833616	-4621	-284
828	834624	-4621	-284
829	835632	-5199	-319
830	836640	-4910	-302
831	837648	-4910	-302
832	838656	-4910	-302
833	839664	-5199	-319
834	840672	-5199	-319
835	841680	-5488	-337
836	842688	-5199	-319
837	843696	-5488	-337
838	844704	-5488	-337
839	845712	-5488	-337
840	846720	-5488	-337
841	847728	-5777	-355
842	848736	-5777	-355
843	849744	-5777	-355
844	850752	-6066	-373
845	851760	-6066	-373
846	852768	-6066	-373
847	853776	-6066	-373
848	854784	-6066	-373
849	855792	-6355	-390
850	856800	-6643	-408
851	857808	-6643	-408
852	858816	-6643	-408
853	859824	-6643	-408
854	860832	-6643	-408
855	861840	-6932	-426
856	862848	-6932	-426
857	863856	-6932	-426
858	864864	-6932	-426
859	865872	-7221	-444
860	866880	-7221	-444
861	867888	-6932	-426
862	868896	-6932	-426
863	869904	-7510	-461
864	870912	-7221	-444
865	871920	-7510	-461
866	872928	-7799	-479
867	873936	-7799	-479
868	874944	-7799	-479
869	875952	-7799	-479
870	876960	-8088	-497
871	877968	-7799	-479
872	878976	-8088	-497
873	879984	-7799	-479
874	880992	-8377	-515
875	882000	-8088	-497
876	883008	-8377	-515
877	884016	-8377	-515
878	885024	-8377	-515
879	886032	-8666	-533
880	887040	-8954	-550
881	888048	-8666	-533
882	889056	-8666	-533
883	890064	-8666	-533
884	891072	-8666	-533
885	892080	-8954	-550
886	893088	-8954	-550
887	894096	-9243	-568
888	895104	-9243	-568
889	896112	-9243	-568
890	897120	-9243	-568
891	898128	-9243	-568
892	899136	-9532	-586
893	900144	-9243	-568
894	901152	-9532	-586
895	902160	-9532	-586
896	903168	-9821	-604
897	904176	-9821	-604
898	905184	-9821	-604
899	906192	-9821	-604
900	907200	-10110	-621
901	908208	-9821	-604
902	909216	-10110	-621
903	910224	-10110	-621
904	911232	-10399	-639
905	912240	-10110	-621
906	913248	-10399	-639
907	914256	-10110	-621
908	915264	-10688	-657
909	916272	-10399	-639
910	917280	-10688	-657
911	918288	-10688	-657
912	919296	-10688	-657
913	920304	-10688	-657
914	921312	-10688	-657
915	922320	-10688	-657
916	923328	-10688	-657
917	924336	-10688	-657
918	925344	-10688	-657
919	926352	-11265	-692
920	927360	-10976	-675
921	928368	-10976	-675
922	929376	-11265	-692
923	930384	-11554	-710
924	931392	-11265	-692
925	932400	-11554	-710
926	933408	-11265	-692
927	934416	-11843	-728
928	935424	-11554	-710
929	936432	-11554	-710
930	937440	-11843	-728
931	938448	-11554	-710
932	939456	-11554	-710
933	940464	-11843	-728
934	941472	-11843	-728
935	942480	-12132	-746
936	943488	-12132	-746
937	944496	-11843	-728
938	945504	-12132	-746
939	946512	-12132	-746
940	947520	-12421	-764
941	948528	-12421	-764
942	949536	-12421	-764
943	950544	-12421	-764
944	951552	-12421	-764
945	952560	-12710	-781
946	953568	-12710	-781
947	954576	-12710	-781
948	955584	-12421	-764
949	956592	-12421	-764
950	957600	-12421	-764
951	958608	-12710	-781
952	959616	-12710	-781
953	960624	-12710	-781
954	961632	-12710	-781
955	962640	-12999	-799
956	963648	-12710	-781
957	964656	-12999	-799
958	965664	-13287	-817
959	966672	-12999	-799
960	967680	-12999	-799
961	968688	-13287	-817
962	969696	-12999	-799
963	970704	-13287	-817
964	971712	-13287	-817
965	972720	-12999	-799
966	973728	-13287	-817
967	974736	-13287	-817
968	975744	-13287	-817
969	976752	-13287	-817
970	977760	-13287	-817
971	978768	-13576	-835
972	979776	-13576	-835
973	980784	-13576	-835
974	981792	-13576	-835
975	982800	-13576	-835
976	983808	-13865	-852
977	984816	-13576	-835
978	985824	-14154	-870
979	986832	-13576	-835
980	987840	-13865	-852
981	988848	-13865	-852
982	989856	-13865	-852
983	990864	-13865	-852
984	991872	-13865	-852
985	992880	-13576	-835
986	993888	-13576	-835
987	994896	-13576	-835
988	995904	-14154	-870
989	996912	-14154	-870
990	997920	-13576	-835
991	998928	-14154	-870
992	999936	-14443	-888
993	1000944	-14154	-870
994	1001952	-14443	-888
995	1002960	-14154	-870
996	1003968	-14443	-888
997	1004976	-14154	-870
998	1005984	-14154	-870
999	1006992	-14443	-888
1000	1008000	-14154	-870
1001	1009008	-14443	-888
1002	1010016	-14443	-888
1003	1011024	-14443	-888
1004	1012032	-14154	-870
1005	1013040	-14154	-870
1006	1014048	-14443	-888
1007	1015056	-14443	-888
1008	1016064	-14443	-888
1009	1017072	-14443	-888
1010	1018080	-14443	-888
1011	1019088	-14443	-888
1012	1020096	-14732	-906
1013	1021104	-14443	-888
1014	1022112	-14732	-906
1015	1023120	-14443	-888
1016	1024128	-14732	-906
1017	1025136	-14732	-906
1018	1026144	-14443	-888
1019	1027152	-14732	-906
1020	1028160	-14443	-888
1021	1029168	-14443	-888
1022	1030176	-14443	-888
1023	1031184	-14732	-906
1024	1032192	-14732	-906
1025	1033200	-14732	-906
1026	1034208	-14443	-888
1027	1035216	-14732	-906
1028	1036224	-14732	-906
1029	1037232	-14732	-906
1030	1038240	-14732	-906
1031	1039248	-14732	-906
1032	1040256	-15021	-924
1033	1041264	-14443	-888
1034	1042272	-14443	-888
1035	1043280	-14732	-906
1036	1044288	-14443	-888
1037	1045296	-14443	-888
1038	1046304	-14732	-906
1039	1047312	-14443	-888
1040	1048320	-14443	-888
1041	1049328	-14443	-888
1042	1050336	-14443	-888
1043	1051344	-14732	-906
1044	1052352	-14732	-906
1045	1053360	-14732	-906
1046	1054368	-14732	-906
1047	1055376	-14732	-906
1048	1056384	-14443	-888
1049	1057392	-14154	-870
1050	1058400	-14732	-906
1051	1059408	-14732	-906
1052	1060416	-14443	-888
1053	1061424	-14443	-888
1054	1062432	-14154	-870
